# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Cholangiocarcinoma_mir.txt 2016-05-21 22:45:30.736428
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Cholangiocarcinoma_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Cholangiocarcinoma_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Cholangiocarcinoma_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	Chordata
hsa-mir-200b	910.0	Coelomata
hsa-mir-141	910.0	Coelomata
hsa-mir-494	97.4	Boreoeutheria
hsa-mir-26a-2	535.7	Vertebrata
hsa-mir-26a-1	535.7	Vertebrata
hsa-mir-124-2	910.0	Coelomata
hsa-mir-21	454.6	Euteleostomi
hsa-mir-370	97.4	Boreoeutheria
hsa-mir-373	29.6	Catarrhini
hsa-mir-214	454.6	Euteleostomi
hsa-mir-200c	910.0	Coelomata
hsa-mir-25	910.0	Coelomata
hsa-mir-124-1	910.0	Coelomata
