# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir.txt 2016-05-21 23:01:45.255907
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir: 6
# Proteins in Background: 1025
#
# age	label	Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir	Background	p-value
0.0	Homo	0	151	0.600
6.1	Homininae	0	51	1.000
15.7	Hominidae	0	107	1.000
29.6	Catarrhini	1	239	1.000
44.2	Simiiformes	0	1	1.000
89.1	Euarchontoglires	0	13	1.000
97.4	Boreoeutheria	1	238	1.000
176.1	Theria	0	8	1.000
220.2	Mammalia	0	4	1.000
324.5	Amniota	0	9	1.000
361.2	Tetrapoda	0	9	1.000
454.6	Euteleostomi	1	29	0.159
535.7	Vertebrata	1	83	0.398
797.0	Chordata	1	7	0.040
842.0	Deuterostomia	0	5	1.000
910.0	Coelomata	1	71	0.351
#
# Mann-Whitney U test: U = 1.4e+03 (p = 0.00835)
#
# Average age of Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir: 470.7
# Average age of Background: 169.7
#
# Median age of Precursor-B-Cell-Lymphoblastic-Leukemia-Lymphoma_mir: 495.2
# Median age of Background: 29.6
