# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir.txt 2016-05-21 23:01:49.779138
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir: 23
# Proteins in Background: 1025
#
# age	label	Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir	Background	p-value
0.0	Homo	0	151	0.037
6.1	Homininae	0	51	0.624
15.7	Hominidae	0	107	0.159
29.6	Catarrhini	0	239	0.004
44.2	Simiiformes	0	1	1.000
89.1	Euarchontoglires	0	13	1.000
97.4	Boreoeutheria	1	238	0.025
176.1	Theria	0	8	1.000
220.2	Mammalia	0	4	1.000
324.5	Amniota	0	9	1.000
361.2	Tetrapoda	0	9	1.000
454.6	Euteleostomi	1	29	0.487
535.7	Vertebrata	9	83	0.000
797.0	Chordata	1	7	0.147
842.0	Deuterostomia	0	5	1.000
910.0	Coelomata	11	71	0.000
#
# Mann-Whitney U test: U = 2.1e+03 (p = 4.03e-12)
#
# Average age of Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir: 703.5
# Average age of Background: 169.7
#
# Median age of Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma_mir: 797.0
# Median age of Background: 29.6
