# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Stroke_mir.txt 2016-05-21 23:05:00.203674
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Stroke_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Stroke_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Stroke_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	Euteleostomi
hsa-let-7f-2	910.0	Coelomata
hsa-mir-145	535.7	Vertebrata
hsa-mir-298	89.1	Euarchontoglires
hsa-mir-124-2	910.0	Coelomata
hsa-mir-155	454.6	Euteleostomi
hsa-mir-181a-1	535.7	Vertebrata
hsa-mir-1-1	910.0	Coelomata
hsa-mir-1-2	910.0	Coelomata
hsa-mir-362	97.4	Boreoeutheria
hsa-mir-133a-1	910.0	Coelomata
hsa-mir-133a-2	910.0	Coelomata
hsa-mir-124-1	910.0	Coelomata
hsa-mir-124-3	910.0	Coelomata
hsa-mir-497	176.1	Theria
hsa-let-7f-1	910.0	Coelomata
