tch	0.008	160
lla	-0.447	48
mne	-0.278	74
xtr	0.209	182
tgu	0.284	176
rno	0.415	381
ssa	0.342	347
ssc	0.185	261
sha	0.181	59
ola	0.420	165
mdo	-0.014	183
cfa	0.550	384
bta	0.529	398
ptr	1.325	655
aja	-0.113	18
hsa	1.813	1025
eca	0.716	398
mmu	0.846	510
gga	0.276	184
ggo	0.798	349
cgr	0.187	189
aca	0.236	192
dre	0.474	317
ppa	-0.351	88
ipu	0.107	238
mml	1.052	564
ppy	1.279	637
chi	0.318	249
tni	0.167	132
sla	-0.276	42
oha	0.148	193
hhi	0.415	30
oan	0.133	176
efu	0.108	199
oar	0.617	103
age	-0.030	60
ccr	0.395	126
