# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Prolactinoma_mir.txt 2016-05-21 23:02:07.800395
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Prolactinoma_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Prolactinoma_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Prolactinoma_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-671	97.4	Boreoeutheria
hsa-mir-125b-1	910.0	Coelomata
hsa-mir-125b-2	910.0	Coelomata
hsa-mir-200b	910.0	Coelomata
hsa-mir-342	97.4	Boreoeutheria
hsa-mir-516b-1	29.6	Catarrhini
hsa-mir-206	910.0	Coelomata
hsa-mir-493	97.4	Boreoeutheria
hsa-mir-550a-2	29.6	Catarrhini
hsa-mir-550a-1	29.6	Catarrhini
hsa-mir-130a	535.7	Vertebrata
hsa-mir-199b	535.7	Vertebrata
hsa-mir-516b-2	29.6	Catarrhini
hsa-mir-23b	535.7	Vertebrata
hsa-mir-432	97.4	Boreoeutheria
