# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Leukemia,-Myelogenous,-Chronic,-BCR-ABL-Positive_mir.txt 2016-05-21 22:54:30.938284
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Leukemia,-Myelogenous,-Chronic,-BCR-ABL-Positive_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Leukemia,-Myelogenous,-Chronic,-BCR-ABL-Positive_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Leukemia,-Myelogenous,-Chronic,-BCR-ABL-Positive_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-410	97.4	Boreoeutheria
hsa-mir-30a	535.7	Vertebrata
hsa-mir-328	97.4	Boreoeutheria
hsa-mir-155	454.6	Euteleostomi
hsa-mir-615	97.4	Boreoeutheria
hsa-mir-212	535.7	Vertebrata
hsa-mir-181a-1	535.7	Vertebrata
hsa-mir-144	535.7	Vertebrata
hsa-mir-31	910.0	Coelomata
hsa-mir-369	97.4	Boreoeutheria
hsa-mir-564	15.7	Hominidae
