# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Muscular-Dystrophies_mir.txt 2016-05-21 22:57:36.555008
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Muscular-Dystrophies_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Muscular-Dystrophies_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Muscular-Dystrophies_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-127	97.4	Boreoeutheria
hsa-mir-489	454.6	Euteleostomi
hsa-mir-192	535.7	Vertebrata
hsa-mir-376c	97.4	Boreoeutheria
hsa-mir-206	910.0	Coelomata
hsa-mir-335	97.4	Boreoeutheria
hsa-mir-502	97.4	Boreoeutheria
hsa-mir-100	910.0	Coelomata
hsa-mir-136	97.4	Boreoeutheria
hsa-mir-148a	535.7	Vertebrata
