# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Periodontitis_mir.txt 2016-05-21 23:01:13.526421
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Periodontitis_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Periodontitis_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Periodontitis_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-520d	29.6	Catarrhini
hsa-mir-30a	535.7	Vertebrata
hsa-mir-17	535.7	Vertebrata
hsa-let-7c	910.0	Coelomata
hsa-mir-548a-3	29.6	Catarrhini
hsa-mir-548a-2	29.6	Catarrhini
hsa-mir-548a-1	29.6	Catarrhini
hsa-mir-181b-1	535.7	Vertebrata
hsa-mir-19b-2	535.7	Vertebrata
hsa-mir-19b-1	535.7	Vertebrata
hsa-let-7a-2	910.0	Coelomata
hsa-let-7a-3	910.0	Coelomata
hsa-let-7a-1	910.0	Coelomata
hsa-mir-130a	535.7	Vertebrata
hsa-mir-181b-2	535.7	Vertebrata
hsa-mir-301a	535.7	Vertebrata
hsa-mir-23a	535.7	Vertebrata
