# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Mycosis-Fungoides_mir.txt 2016-05-21 22:57:58.620858
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Mycosis-Fungoides_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Mycosis-Fungoides_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Mycosis-Fungoides_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-let-7f-2	910.0	Coelomata
hsa-let-7d	910.0	Coelomata
hsa-mir-155	454.6	Euteleostomi
hsa-mir-92a-2	910.0	Coelomata
hsa-mir-92a-1	910.0	Coelomata
hsa-let-7a-2	910.0	Coelomata
hsa-let-7a-3	910.0	Coelomata
hsa-let-7a-1	910.0	Coelomata
hsa-mir-93	535.7	Vertebrata
hsa-let-7f-1	910.0	Coelomata
