# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Breast-Neoplasms_mir.txt 2016-05-21 22:43:19.109115
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Breast-Neoplasms_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Breast-Neoplasms_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Breast-Neoplasms_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-1323	29.6	Catarrhini
hsa-mir-7-2	910.0	Coelomata
hsa-mir-122	454.6	Euteleostomi
hsa-mir-126	797.0	Chordata
hsa-mir-127	97.4	Boreoeutheria
hsa-mir-19a	535.7	Vertebrata
hsa-mir-1258	6.1	Homininae
hsa-mir-125b-1	910.0	Coelomata
hsa-mir-125b-2	910.0	Coelomata
hsa-mir-488	97.4	Boreoeutheria
hsa-let-7f-2	910.0	Coelomata
hsa-mir-2355	97.4	Boreoeutheria
hsa-mir-520a	29.6	Catarrhini
hsa-mir-520c	29.6	Catarrhini
hsa-mir-520b	29.6	Catarrhini
hsa-mir-520d	29.6	Catarrhini
hsa-mir-125a	910.0	Coelomata
hsa-mir-520h	29.6	Catarrhini
hsa-mir-409	97.4	Boreoeutheria
hsa-mir-1915	15.7	Hominidae
hsa-mir-195	535.7	Vertebrata
hsa-mir-197	97.4	Boreoeutheria
hsa-mir-191	361.2	Tetrapoda
hsa-mir-320a	97.4	Boreoeutheria
hsa-mir-200b	910.0	Coelomata
hsa-mir-135a-2	797.0	Chordata
hsa-mir-135a-1	797.0	Chordata
hsa-mir-200a	910.0	Coelomata
hsa-mir-411	97.4	Boreoeutheria
hsa-mir-506	97.4	Boreoeutheria
hsa-mir-30a	535.7	Vertebrata
hsa-mir-30b	535.7	Vertebrata
hsa-mir-30d	535.7	Vertebrata
hsa-mir-29b-2	910.0	Coelomata
hsa-mir-193b	910.0	Coelomata
hsa-mir-193a	910.0	Coelomata
hsa-mir-505	97.4	Boreoeutheria
hsa-mir-129-1	797.0	Chordata
hsa-mir-18b	535.7	Vertebrata
hsa-mir-17	535.7	Vertebrata
hsa-mir-376c	97.4	Boreoeutheria
hsa-mir-526a-2	29.6	Catarrhini
hsa-mir-608	15.7	Hominidae
hsa-mir-326	97.4	Boreoeutheria
hsa-mir-145	535.7	Vertebrata
hsa-mir-141	910.0	Coelomata
hsa-mir-510	97.4	Boreoeutheria
hsa-mir-16-2	535.7	Vertebrata
hsa-mir-34a	910.0	Coelomata
hsa-mir-34b	910.0	Coelomata
hsa-mir-34c	910.0	Coelomata
hsa-mir-450a-2	97.4	Boreoeutheria
hsa-mir-345	97.4	Boreoeutheria
hsa-mir-340	97.4	Boreoeutheria
hsa-mir-342	97.4	Boreoeutheria
hsa-mir-106b	535.7	Vertebrata
hsa-mir-24-1	535.7	Vertebrata
hsa-mir-519e	29.6	Catarrhini
hsa-mir-519d	29.6	Catarrhini
hsa-mir-519c	29.6	Catarrhini
hsa-mir-15a	535.7	Vertebrata
hsa-mir-516b-1	29.6	Catarrhini
hsa-mir-205	535.7	Vertebrata
hsa-mir-204	535.7	Vertebrata
hsa-mir-206	910.0	Coelomata
hsa-mir-328	97.4	Boreoeutheria
hsa-mir-29c	910.0	Coelomata
hsa-mir-29a	910.0	Coelomata
hsa-mir-320c-1	97.4	Boreoeutheria
hsa-mir-320c-2	97.4	Boreoeutheria
hsa-mir-298	89.1	Euarchontoglires
hsa-mir-299	97.4	Boreoeutheria
hsa-mir-296	97.4	Boreoeutheria
hsa-mir-632	97.4	Boreoeutheria
hsa-mir-495	97.4	Boreoeutheria
hsa-mir-194-1	535.7	Vertebrata
hsa-mir-194-2	535.7	Vertebrata
hsa-mir-493	97.4	Boreoeutheria
hsa-mir-320d-2	97.4	Boreoeutheria
hsa-mir-26a-2	535.7	Vertebrata
hsa-mir-26a-1	535.7	Vertebrata
hsa-mir-320d-1	97.4	Boreoeutheria
hsa-mir-182	910.0	Coelomata
hsa-mir-183	842.0	Deuterostomia
hsa-mir-187	454.6	Euteleostomi
hsa-mir-124-2	910.0	Coelomata
hsa-let-7b	910.0	Coelomata
hsa-let-7c	910.0	Coelomata
hsa-mir-3130-1	0.0	Homo
hsa-mir-383	361.2	Tetrapoda
hsa-mir-423	97.4	Boreoeutheria
hsa-mir-425	361.2	Tetrapoda
hsa-let-7g	910.0	Coelomata
hsa-mir-18a	535.7	Vertebrata
hsa-let-7d	910.0	Coelomata
hsa-mir-133b	910.0	Coelomata
hsa-mir-335	97.4	Boreoeutheria
hsa-mir-339	97.4	Boreoeutheria
hsa-mir-338	454.6	Euteleostomi
