# age_enrichment_analysis.py -l /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/mirna2age_lst.txt /Users/virpatel/Desktop/pub_stuff/relevant_data/dis2mir_db/Sepsis_mir.txt 2016-05-21 23:04:19.755510
#
# AGE_LABEL_FILE = /Users/virpatel/Desktop/pub_stuff/relevant_data/time_tree_dates.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Sepsis_mir
# POI2_NAME = Background
# OUTPUT_NAME = mirna2age_lst--Sepsis_mir--Background
# OUTPUT_DIR = results/enrichment/mirna2age_lst--Sepsis_mir--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	Euteleostomi
hsa-mir-193a	910.0	Coelomata
hsa-mir-16-2	535.7	Vertebrata
hsa-mir-342	97.4	Boreoeutheria
hsa-mir-15a	535.7	Vertebrata
hsa-mir-297	89.1	Euarchontoglires
hsa-mir-182	910.0	Coelomata
hsa-mir-124-2	910.0	Coelomata
hsa-mir-150	454.6	Euteleostomi
hsa-mir-574	97.4	Boreoeutheria
hsa-mir-16-1	535.7	Vertebrata
hsa-mir-223	454.6	Euteleostomi
hsa-mir-124-1	910.0	Coelomata
hsa-mir-146a	535.7	Vertebrata
